Track_ID,Class,Max_Speed_kmh,Avg_Speed_kmh,Total_Distance_m,Sprint_Count
27,Player,44.41,19.55,31.49,70
1,Player,43.90,10.79,20.98,35
16,Player,43.82,15.53,30.20,55
18,Player,43.53,17.38,33.79,65
2,Player,43.22,11.60,22.56,30
21,Player,42.66,13.21,25.69,55
8,Player,38.38,12.54,24.39,45
15,Player,37.99,13.17,19.76,20
10,Player,37.32,14.92,29.02,30
26,Player,36.71,13.51,25.51,45
7,Player,35.75,13.37,26.00,35
11,Player,34.84,10.00,19.44,15
14,Player,34.57,12.51,24.33,35
9,Player,34.26,12.46,24.23,30
17,Player,32.58,11.69,22.73,15
6,Player,31.83,10.79,20.97,10
12,Player,31.09,8.55,16.62,10
5,Player,30.33,10.50,20.42,20
3,Player,26.58,8.69,16.89,10
20,Player,26.42,13.72,6.86,5
4,Player,26.18,10.38,20.19,10
23,Player,22.81,16.36,6.36,15
31,Player,21.69,5.00,3.33,5
22,Referee,15.14,6.93,4.26,0
32,Player,12.75,6.23,3.11,0
13,Player,9.99,4.28,0.71,0
25,Player,2.70,2.41,0.54,0
