frame,track_id,class,x_center,y_center
2,1,2,239,553
2,2,2,1293,426
2,3,2,346,532
2,4,2,1247,465
2,5,2,556,735
2,6,2,1330,481
2,7,2,890,392
2,8,2,614,631
2,9,2,1593,652
2,10,2,1011,490
2,11,2,1103,331
2,12,3,1871,861
2,13,2,378,773
2,14,2,1178,382
2,15,2,386,335
2,16,2,876,680
2,17,3,317,249
2,18,2,788,450
2,19,2,1402,858
2,20,2,958,247
2,21,2,1909,407
2,22,2,788,395
2,23,2,1148,748
2,24,3,878,16
3,1,2,240,554
3,2,2,1295,426
3,3,2,346,532
3,4,2,1248,465
3,5,2,557,736
3,6,2,1333,482
3,7,2,892,392
3,8,2,619,631
3,9,2,1598,654
3,10,2,1013,491
3,11,2,1104,332
3,12,3,1871,861
3,13,2,378,775
3,14,2,1181,381
3,15,2,386,335
3,16,2,884,681
3,17,3,319,249
3,18,2,788,451
3,19,2,1400,859
3,20,2,959,247
3,21,2,1909,408
3,22,2,787,396
3,23,2,1151,749
3,24,3,878,16
4,1,2,240,554
4,2,2,1296,428
4,3,2,348,532
4,4,2,1250,466
4,5,2,557,736
4,6,2,1336,482
4,7,2,894,391
4,8,2,622,631
4,9,2,1601,658
4,10,2,1014,491
4,11,2,1106,333
4,12,3,1870,861
4,13,2,378,779
4,14,2,1183,382
4,15,2,385,336
4,16,2,893,681
4,17,3,320,248
4,18,2,788,451
4,19,2,1397,859
4,20,2,960,247
4,21,2,1909,407
4,22,2,786,395
4,23,2,1155,749
4,24,3,878,16
5,1,2,241,555
5,2,2,1298,428
5,3,2,350,532
5,4,2,1252,465
5,5,2,557,736
5,6,2,1341,481
5,7,2,898,391
5,8,2,626,633
5,9,2,1605,662
5,10,2,1015,492
5,11,2,1106,332
5,12,3,1870,861
5,13,2,377,781
5,14,2,1185,382
5,15,2,385,337
5,16,2,903,681
5,17,3,319,249
5,18,2,788,452
5,19,2,1389,861
5,20,2,960,247
5,21,2,1909,408
5,22,2,786,395
5,23,2,1163,748
5,24,3,877,16
5,26,0,1216,874
6,1,2,244,556
6,2,2,1299,429
6,3,2,353,531
6,4,2,1255,465
6,5,2,558,736
6,6,2,1346,481
6,7,2,901,392
6,8,2,630,634
6,9,2,1610,665
6,10,2,1016,494
6,11,2,1107,332
6,12,3,1870,861
6,13,2,377,783
6,14,2,1188,383
6,15,2,385,337
6,16,2,911,681
6,17,3,320,249
6,18,2,789,454
6,19,2,1378,863
6,20,2,960,248
6,21,2,1910,407
6,22,2,786,397
6,23,2,1168,747
6,24,3,877,16
6,26,0,1221,880
7,1,2,245,556
7,2,2,1301,429
7,3,2,355,531
7,4,2,1258,466
7,5,2,559,736
7,6,2,1351,482
7,7,2,902,392
7,8,2,634,637
7,9,2,1613,668
7,10,2,1018,494
7,11,2,1108,333
7,12,3,1870,861
7,13,2,377,785
7,14,2,1191,383
7,15,2,385,337
7,16,2,919,682
7,17,3,320,249
7,18,2,790,454
7,19,2,1374,864
7,20,2,962,248
7,21,2,1911,407
7,22,2,786,399
7,23,2,1177,746
7,24,3,877,16
7,26,0,1226,884
8,1,2,246,556
8,2,2,1302,430
8,3,2,356,531
8,4,2,1261,464
8,5,2,559,736
8,6,2,1354,481
8,7,2,904,392
8,8,2,640,638
8,9,2,1617,670
8,10,2,1020,495
8,11,2,1109,333
8,12,3,1869,861
8,13,2,376,786
8,14,2,1194,384
8,15,2,385,337
8,16,2,927,683
8,17,3,321,250
8,18,2,790,455
8,19,2,1363,869
8,20,2,962,249
8,21,2,1912,408
8,22,2,785,399
8,23,2,1185,749
8,24,3,877,16
8,26,0,1230,888
9,1,2,246,556
9,2,2,1303,430
9,3,2,358,532
9,4,2,1263,466
9,5,2,560,737
9,6,2,1357,482
9,7,2,906,393
9,8,2,646,639
9,9,2,1622,672
9,10,2,1021,495
9,11,2,1110,334
9,12,3,1871,861
9,13,2,376,787
9,14,2,1197,385
9,15,2,385,337
9,16,2,936,685
9,17,3,321,249
9,18,2,791,456
9,19,2,1354,872
9,20,2,963,249
9,21,2,1912,408
9,22,2,785,400
9,23,2,1190,751
9,24,3,877,16
9,26,0,1235,893
9,27,2,1205,771
10,1,2,247,556
10,2,2,1304,431
10,3,2,360,532
10,4,2,1264,467
10,5,2,561,738
10,6,2,1360,482
10,7,2,908,394
10,8,2,651,640
10,9,2,1626,673
10,10,2,1024,495
10,11,2,1112,334
10,12,3,1872,862
10,13,2,375,788
10,14,2,1201,385
10,15,2,385,337
10,16,2,945,686
10,17,3,322,248
10,18,2,791,456
10,19,2,1342,875
10,20,2,964,250
10,21,2,1912,408
10,22,2,785,401
10,23,2,1195,752
10,24,3,877,16
10,26,0,1239,897
10,27,2,1211,773
11,1,2,247,556
11,2,2,1307,431
11,3,2,362,532
11,4,2,1266,469
11,5,2,561,740
11,6,2,1363,482
11,7,2,910,395
11,8,2,656,640
11,9,2,1629,674
11,10,2,1026,495
11,11,2,1113,335
11,12,3,1872,862
11,13,2,375,788
11,14,2,1204,385
11,15,2,385,337
11,16,2,956,689
11,17,3,323,248
11,18,2,792,456
11,19,2,1335,877
11,20,2,965,250
11,21,2,1913,409
11,22,2,786,403
11,23,2,1200,752
11,24,3,877,16
11,26,0,1242,901
11,27,2,1214,774
12,1,2,248,556
12,2,2,1308,431
12,3,2,363,533
12,4,2,1267,469
12,5,2,561,742
12,6,2,1367,483
12,7,2,911,396
12,8,2,662,640
12,9,2,1632,677
12,10,2,1027,496
12,11,2,1115,336
12,12,3,1873,862
12,13,2,373,788
12,14,2,1208,386
12,15,2,385,337
12,16,2,966,691
12,17,3,324,248
12,18,2,793,456
12,19,2,1323,878
12,20,2,965,250
12,21,2,1914,410
12,22,2,787,402
12,23,2,1205,753
12,24,3,876,16
12,26,0,1246,905
12,27,2,1217,775
13,1,2,248,556
13,2,2,1310,431
13,3,2,365,534
13,4,2,1269,470
13,5,2,560,744
13,6,2,1370,483
13,7,2,914,396
13,8,2,665,641
13,9,2,1634,681
13,10,2,1029,496
13,11,2,1116,336
13,12,3,1874,862
13,13,2,371,789
13,14,2,1211,385
13,15,2,385,338
13,16,2,976,693
13,17,3,324,248
13,18,2,793,453
13,19,2,1313,877
13,20,2,966,250
13,21,2,1914,411
13,22,2,788,402
13,23,2,1210,753
13,24,3,876,16
13,26,0,1250,909
13,27,2,1231,771
14,1,2,250,556
14,2,2,1312,431
14,3,2,366,535
14,4,2,1271,470
14,5,2,560,747
14,6,2,1375,484
14,7,2,915,396
14,8,2,670,643
14,9,2,1637,684
14,10,2,1032,498
14,11,2,1118,337
14,12,3,1874,862
14,13,2,368,789
14,14,2,1213,384
14,15,2,386,338
14,16,2,985,693
14,17,3,325,248
14,18,2,793,451
14,19,2,1304,875
14,20,2,968,250
14,21,2,1915,410
14,22,2,788,403
14,23,2,1215,754
14,24,3,876,16
14,26,0,1254,913
14,27,2,1234,779
15,1,2,251,557
15,2,2,1313,431
15,3,2,367,537
15,4,2,1273,470
15,5,2,560,750
15,6,2,1380,485
15,7,2,918,396
15,8,2,674,644
15,9,2,1638,688
15,10,2,1035,500
15,11,2,1120,338
15,12,3,1873,862
15,13,2,366,788
15,14,2,1216,385
15,15,2,386,339
15,16,2,991,694
15,17,3,325,247
15,18,2,794,451
15,19,2,1295,869
15,20,2,969,250
15,21,2,1915,409
15,22,2,788,404
15,23,2,1258,787
15,24,3,876,16
15,26,0,1258,916
15,27,2,1238,767
16,1,2,252,557
16,2,2,1315,431
16,3,2,368,537
16,4,2,1276,469
16,5,2,563,751
16,6,2,1385,485
16,7,2,920,396
16,8,2,678,647
16,9,2,1641,692
16,10,2,1038,500
